"","Spell","Rune"
"4666","Fetish Army","Legion of Daggers"
"4667","Gruesome Feast","Passive"
"4668","Spirit Vessel","Passive"
"4669","Fetish Sycophants","Passive"
"4670","Pierce the Veil","Passive"
"4671","Haunt","Resentful Spirits"
"4672","Locust Swarm","Pestilence"
"4673","Spirit Walk","Jaunt"
"4674","Piranhas","Piranhado"
"4675","Horrify","Frightening Aspect"
"4676","Soul Harvest","Siphon"
"4677","Spirit Vessel","Passive"
"4678","Grave Injustice","Passive"
"4679","Gruesome Feast","Passive"
"4680","Creeping Death","Passive"
"4681","Piranhas","Piranhado"
"4682","Summon Zombie Dogs","Leeching Beasts"
"4683","Spirit Walk","Jaunt"
"4684","Horrify","Face of Death"
"4685","Mass Confusion","Paranoia"
"4686","Big Bad Voodoo","Slam Dance"
"4687","Spirit Vessel","Passive"
"4688","Tribal Rites","Passive"
"4689","Grave Injustice","Passive"
"4690","Creeping Death","Passive"
"4691","Mass Confusion","Paranoia"
"4692","Piranhas","Piranhado"
"4693","Spirit Walk","Honored Guest"
"4694","Soul Harvest","Siphon"
"4695","Summon Zombie Dogs","Final Gift"
"4696","Haunt","Resentful Spirits"
"4697","Pierce the Veil","Passive"
"4698","Tribal Rites","Passive"
"4699","Gruesome Feast","Passive"
"4700","Grave Injustice","Passive"
"4701","Plague of Toads","Rain of Toads"
"4702","Piranhas","Frozen Piranhas"
"4703","Spirit Walk","Jaunt"
"4704","Summon Zombie Dogs","Leeching Beasts"
"4705","Fetish Army","Legion of Daggers"
"4706","Big Bad Voodoo","Slam Dance"
"4707","Midnight Feast","Passive"
"4708","Zombie Handler","Passive"
"4709","Pierce the Veil","Passive"
"4710","Fetish Sycophants","Passive"
"4711","Haunt","Resentful Spirits"
"4712","Piranhas","Piranhado"
"4713","Spirit Walk","Jaunt"
"4714","Soul Harvest","Siphon"
"4715","Locust Swarm","Pestilence"
"4716","Horrify","Stalker"
"4717","Pierce the Veil","Passive"
"4718","Spirit Vessel","Passive"
"4719","Creeping Death","Passive"
"4720","Grave Injustice","Passive"
"4721","Plague of Toads","Rain of Toads"
"4722","Soul Harvest","Languish"
"4723","Spirit Walk","Jaunt"
"4724","Summon Zombie Dogs","Leeching Beasts"
"4725","Fetish Army","Legion of Daggers"
"4726","Big Bad Voodoo","Slam Dance"
"4727","Fetish Sycophants","Passive"
"4728","Pierce the Veil","Passive"
"4729","Gruesome Feast","Passive"
