"","Spell","Rune"
"1719","Fetish Sycophants","Passive"
"1720","Gruesome Feast","Passive"
"1721","Piranhas","Piranhado"
"1722","Locust Swarm","Pestilence"
"1723","Spirit Walk","Jaunt"
"1724","Haunt","Poisoned Spirit"
"1725","Soul Harvest","Siphon"
"1726","Horrify","Frightening Aspect"
"1727","Grave Injustice","Passive"
"1728","Gruesome Feast","Passive"
"1729","Spirit Vessel","Passive"
"1730","Creeping Death","Passive"
"1731","Fetish Army","Legion of Daggers"
"1732","Big Bad Voodoo","Slam Dance"
"1733","Spirit Walk","Jaunt"
"1734","Piranhas","Piranhado"
"1735","Haunt","Poisoned Spirit"
"1736","Horrify","Face of Death"
"1737","Spirit Vessel","Passive"
"1738","Creeping Death","Passive"
"1739","Jungle Fortitude","Passive"
"1740","Gruesome Feast","Passive"
"1741","Mass Confusion","Paranoia"
"1742","Plague of Toads","Addling Toads"
"1743","Spirit Walk","Jaunt"
"1744","Fetish Army","Legion of Daggers"
"1745","Piranhas","Frozen Piranhas"
"1746","Big Bad Voodoo","Slam Dance"
"1747","Grave Injustice","Passive"
"1748","Pierce the Veil","Passive"
"1749","Gruesome Feast","Passive"
"1750","Fetish Sycophants","Passive"
"1751","Fetish Army","Head Hunters"
"1752","Piranhas","Piranhado"
"1753","Mass Confusion","Paranoia"
"1754","Spirit Walk","Jaunt"
"1755","Horrify","Face of Death"
"1756","Big Bad Voodoo","Slam Dance"
"1757","Tribal Rites","Passive"
"1758","Spirit Vessel","Passive"
"1759","Creeping Death","Passive"
"1760","Jungle Fortitude","Passive"
"1761","Haunt","Poisoned Spirit"
"1762","Locust Swarm","Pestilence"
"1763","Soul Harvest","Vengeful Spirit"
"1764","Piranhas","Piranhado"
"1765","Spirit Walk","Jaunt"
"1766","Horrify","Stalker"
"1767","Spirit Vessel","Passive"
"1768","Gruesome Feast","Passive"
"1769","Pierce the Veil","Passive"
"1770","Grave Injustice","Passive"
"1771","Haunt","Resentful Spirits"
"1772","Piranhas","Piranhado"
"1773","Spirit Walk","Jaunt"
"1774","Horrify","Face of Death"
"1775","Locust Swarm","Pestilence"
"1776","Soul Harvest","Siphon"
"1777","Spirit Vessel","Passive"
"1778","Creeping Death","Passive"
"1779","Grave Injustice","Passive"
"1780","Pierce the Veil","Passive"
"1781","Plague of Toads","Rain of Toads"
"1782","Horrify","Face of Death"
"1783","Sacrifice","Provoke the Pack"
"1784","Fetish Army","Legion of Daggers"
"1785","Spirit Walk","Jaunt"
"1786","Big Bad Voodoo","Boogie Man"
"1787","Fetish Sycophants","Passive"
"1788","Spirit Vessel","Passive"
"1789","Gruesome Feast","Passive"
"1790","Pierce the Veil","Passive"
"1791","Fetish Army","Legion of Daggers"
"1792","Horrify","Frightening Aspect"
"1793","Spirit Walk","Jaunt"
"1794","Piranhas","Piranhado"
"1795","Mass Confusion","Paranoia"
"1796","Big Bad Voodoo","Slam Dance"
"1797","Spirit Vessel","Passive"
"1798","Grave Injustice","Passive"
"1799","Tribal Rites","Passive"
"1800","Jungle Fortitude","Passive"
"1801","Sacrifice","Provoke the Pack"
"1802","Plague of Toads","Rain of Toads"
"1803","Spirit Walk","Jaunt"
"1804","Horrify","Face of Death"
"1805","Fetish Army","Legion of Daggers"
"1806","Big Bad Voodoo","Slam Dance"
"1807","Fetish Sycophants","Passive"
"1808","Gruesome Feast","Passive"
"1809","Spirit Vessel","Passive"
"1810","Pierce the Veil","Passive"
"1811","Haunt","Poisoned Spirit"
"1812","Piranhas","Piranhado"
"1813","Spirit Walk","Jaunt"
"1814","Soul Harvest","Siphon"
"1815","Horrify","Frightening Aspect"
"1816","Locust Swarm","Pestilence"
"1817","Creeping Death","Passive"
"1818","Gruesome Feast","Passive"
"1819","Grave Injustice","Passive"
"1820","Pierce the Veil","Passive"
"1821","Mass Confusion","Paranoia"
"1822","Piranhas","Piranhado"
"1823","Horrify","Face of Death"
"1824","Spirit Walk","Healing Journey"
"1825","Fetish Army","Legion of Daggers"
"1826","Big Bad Voodoo","Slam Dance"
"1827","Grave Injustice","Passive"
"1828","Creeping Death","Passive"
"1829","Tribal Rites","Passive"
"1830","Spirit Vessel","Passive"
"1831","Haunt","Poisoned Spirit"
"1832","Locust Swarm","Pestilence"
"1833","Spirit Walk","Jaunt"
"1834","Horrify","Frightening Aspect"
"1835","Piranhas","Piranhado"
"1836","Soul Harvest","Siphon"
"1837","Spirit Vessel","Passive"
"1838","Pierce the Veil","Passive"
"1839","Creeping Death","Passive"
"1840","Grave Injustice","Passive"
"1841","Haunt","Poisoned Spirit"
"1842","Locust Swarm","Pestilence"
"1843","Horrify","Ruthless Terror"
"1844","Soul Harvest","Siphon"
"1845","Piranhas","Piranhado"
"1846","Spirit Walk","Jaunt"
"1847","Spirit Vessel","Passive"
"1848","Grave Injustice","Passive"
"1849","Pierce the Veil","Passive"
"1850","Creeping Death","Passive"
"1851","Summon Zombie Dogs","Life Link"
"1852","Gargantuan","Restless Giant"
"1853","Plague of Toads","Rain of Toads"
"1854","Spirit Walk","Jaunt"
"1855","Big Bad Voodoo","Slam Dance"
"1856","Fetish Army","Legion of Daggers"
"1857","Midnight Feast","Passive"
"1858","Fetish Sycophants","Passive"
"1859","Spirit Vessel","Passive"
"1860","Pierce the Veil","Passive"
"1861","Poison Dart","Snake to the Face"
"1862","Piranhas","Piranhado"
"1863","Spirit Walk","Jaunt"
"1864","Fetish Army","Legion of Daggers"
"1865","Big Bad Voodoo","Slam Dance"
"1866","Horrify","Frightening Aspect"
"1867","Pierce the Veil","Passive"
"1868","Jungle Fortitude","Passive"
"1869","Spirit Vessel","Passive"
"1870","Gruesome Feast","Passive"
"1871","Plague of Toads","Rain of Toads"
"1872","Piranhas","Frozen Piranhas"
"1873","Spirit Walk","Jaunt"
"1874","Horrify","Face of Death"
"1875","Big Bad Voodoo","Slam Dance"
"1876","Fetish Army","Legion of Daggers"
"1877","Spirit Vessel","Passive"
"1878","Bad Medicine","Passive"
"1879","Pierce the Veil","Passive"
"1880","Fetish Sycophants","Passive"
"1881","Poison Dart","Snake to the Face"
"1882","Piranhas","Piranhado"
